prcp,lday,temp,snowpack,pet,snowfall,rainfall,melt,soilwater,evap,baseflow,surfaceflow,flow,qobs
3.1,0.4719996527777777,6.08,77.23918969365248,1.1377949580991167,0.0,3.1,16.320375069625957,570.1402581107566,0.36167868574166356,3.545523829981176e-19,0.0,3.545523829981176e-19,0.5509980741595841
4.24,0.4701513888888889,10.530000000000001,52.559664203646086,1.5101916733737377,0.0,4.24,33.45746928477241,599.0866714637478,0.5044277052738755,1.0617000095219547e-18,0.0,1.0617000095219547e-18,0.5607406727203627
8.02,0.46799976851851854,11.834999999999999,21.451861079743946,1.6320386892446461,0.0,8.02,21.451861079743946,631.4418727028961,0.5745674654996032,3.617560490879392e-18,0.0,3.617560490879392e-18,0.5585756508179673
15.27,0.463999537037037,7.38,7.888877813923784,1.217711396043229,0.0,15.27,7.888877813923784,657.1414781322018,0.44614954424692177,9.578777214791314e-18,0.0,9.578777214791314e-18,0.6711567897425189
8.48,0.463999537037037,4.8,2.9025124348027935,1.0277889317876445,0.0,8.48,2.9025124348016598,673.9484606969205,0.38619604788553985,1.810813487378404e-17,0.0,1.810813487378404e-17,0.8216258119589868
0.0,0.46,5.41,1.0674008239702657,1.0609648601758292,0.0,0.0,1.067376126378567,679.4909196732491,0.40194058514605935,2.233965436123127e-17,0.0,2.233965436123127e-17,0.8670912719092866
0.0,0.45920532407407405,6.405,0.3945500218366114,1.1308198272740908,0.0,0.0,0.3870636158323636,679.8708431710899,0.4286442813195736,2.266356354591762e-17,0.0,2.266356354591762e-17,0.9114742209083886
2.1,0.45599953703703705,7.675,0.15787269713868837,1.2198586299698386,0.0,2.1,0.1308802786353094,680.5652279647917,0.4628672589271638,2.326775573866754e-17,0.0,2.326775573866754e-17,0.9482795932491073
3.55,0.45200810185185186,5.48,0.07478156960813426,1.0473655484644993,0.0,3.55,0.050754443042399316,682.2726744951606,0.3984129672697026,2.4822813893281775e-17,0.0,2.4822813893281775e-17,0.9634347465658739
0.0,0.452,3.67,0.03970109914430884,0.9284522321125838,0.0,0.0,0.023740038481845624,685.9841540386127,0.3551001464351585,2.8570935190148073e-17,0.0,2.8570935190148073e-17,0.9504446151515026
10.66,0.4480001157407407,1.5299999999999998,0.022447487417994096,0.7961092164931531,2.6179561851691346e-11,10.659999999973822,-0.028231612700706274,690.941124742356,0.30668384343470756,3.4474089906666445e-17,0.0,3.4474089906666445e-17,0.9612697246634786
12.3,0.4480001157407407,5.555000000000001,0.013058428971046924,1.0432328553078447,0.0,12.3,0.00695491614419329,701.7553735283071,0.40817293655911346,5.193310988434289e-17,0.0,5.193310988434289e-17,1.0825109511976112
1.17,0.4440001157407408,4.35,0.007726123987936436,0.9544632182872196,0.0,1.17,0.004012220283451851,708.6640854827745,0.3771176191957655,6.747286289003268e-17,0.0,6.747286289003268e-17,1.1366364987574917
0.26,0.44166932870370373,1.725,0.005006662431630218,0.7953784227441175,9.084066832087956e-14,0.2599999999999092,-0.0546993563117146,709.1950692633343,0.3144971509947962,6.884408401727811e-17,0.0,6.884408401727811e-17,1.1474616082694677
0.0,0.4400003472222222,1.1800000000000002,0.011604393978548887,0.7633875891514047,0.0,0.0,-0.0017946424864690204,709.0037160160953,0.3017663496676842,6.834674782809929e-17,0.0,6.834674782809929e-17,1.1474616082694677
0.0,0.43611064814814815,0.43500000000000005,0.017723060193259022,0.7188550858467067,0.0,0.0,-2.284468593451807e-6,708.7073837434016,0.2840439282286569,6.758364685734907e-17,0.0,6.758364685734907e-17,1.1474616082694677
0.01,0.43600011574074077,3.26,0.012881533266396841,0.8712464583286993,0.0,0.01,0.006855023940569912,707.8671852502844,0.343850775953769,6.546601704323791e-17,0.0,6.546601704323791e-17,1.1366364987574917
0.19,0.43200000000000005,8.5,0.0076064282395260354,1.218940633928893,0.0,0.19,0.003947788796511621,707.2413134418027,0.48064826575110675,6.393181318397373e-17,0.0,6.393181318397373e-17,1.1366364987574917
1.88,0.43194837962962956,9.405000000000001,0.004410296717933375,1.2916532730609709,0.0,1.88,0.002253767271466727,707.723178894466,0.509667066398938,6.510978390227292e-17,0.0,6.510978390227292e-17,1.0933360607095872
0.91,0.428,4.62,0.002197035679863515,0.9367679711890252,0.0,0.91,0.0011105847689924077,709.3638094303606,0.3704915132119527,6.928564959267128e-17,0.0,6.928564959267128e-17,1.0630257540760544
1.71,0.4261517361111111,1.7399999999999998,0.0013251077707415503,0.7682192681240623,5.142986037043329e-13,1.7099999999994857,-0.05240696182700358,711.3718501171513,0.3046906128176252,7.476290535147561e-17,0.0,7.476290535147561e-17,1.0337979583937187
