Baseflow,Evap,Flow,Lday,Melt,Pet,Prcp,Rainfall,SnowWater,Snowfall,SoilWater,Surfaceflow,Temp
0.02044773807786659,0.036135943790145994,0.02044773807786659,0.4719996527777777,0.0,0.04740812325412985,3.1,3.1,0.0,0.0,1303.0043,-0.0,6.08
0.02172082814310687,0.048095899105908516,0.02172082814310687,0.4701513888888889,0.0,0.06292465305723906,4.24,4.24,0.0,0.0,1306.6113,-0.0,10.530000000000001
0.024494608431686677,0.05226193528735725,0.024494608431686677,0.46799976851851854,0.0,0.06800161205186026,8.02,8.02,0.0,0.0,1313.7886,-0.0,11.834999999999999
0.029684636773517174,0.03933478503101046,0.029684636773517174,0.463999537037037,0.0,0.050737974835134536,15.27,15.27,0.0,0.0,1325.2654,-0.0,7.38
0.035961706318954394,0.033486852321630185,0.035961706318954394,0.463999537037037,0.0,0.042824538824485184,8.48,8.48,0.0,0.0,1336.7212,-0.0,4.8
0.03852432144749904,0.03467407894632092,0.03852432144749904,0.46,0.0,0.044206869173992885,0.0,0.0,0.0,0.0,1340.832,-0.0,5.41
0.03837774108050883,0.036950779343033875,0.03837774108050883,0.45920532407407405,0.0,0.047117492803087115,0.0,0.0,0.0,0.0,1340.6044,-0.0,6.405
0.03900934917418657,0.03988920531521848,0.03900934917418657,0.45599953703703705,0.0,0.05082744291540995,2.1,2.1,0.0,0.0,1341.5792,-0.0,7.675
0.03982533956854095,0.03428026764266105,0.03982533956854095,0.45200810185185186,0.0,0.043640231186020804,3.55,3.55,0.0,0.0,1342.8156,-0.0,5.48
0.04073426335231651,0.030418733347522032,0.04073426335231651,0.452,0.0,0.03868550967135766,0.0,0.0,0.0,0.0,1344.1632,-0.0,3.67
0.0449326696206143,0.026196476958331043,0.0449326696206143,0.4480001157407407,5.741167215525164e-17,0.03317121735388138,10.66,10.659999999999998,1.148235e-16,1.7752466163756253e-15,1350.0215,-0.0,1.5299999999999998
